nse_ticker,company_name,macro,sector,industry,basic_industry,themes
ASTER,,,,,,
ASTERDM,Aster DM Healthcare Limited,Healthcare,Healthcare,Healthcare Services,Hospital,hospitals
ASTRA,,,,,,
ASTRAL,Astral Limited,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,
ASTRAMICRO,Astra Microwave Products Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,defense
ASTRAZEN,AstraZeneca Pharma India Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
ASTRON,Astron Paper & Board Mill Limited,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,
ATALREAL,Atal Realtech Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,new_age_tech;realty
ATAM,Atam Valves Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,capex
ATGL,Adani Total Gas Limited,Energy,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier,oil_downstream
ATHERENERG,Ather Energy Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,ev
ATL,Allcargo Terminals Limited,Services,Services,Transport Infrastructure,Port & Port services,
ATLANTAA,ATLANTAA LIMITED,Services,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity,
ATLANTAELE,Atlanta Electricals Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,ev;capex
ATLASCYCLE,Atlas Cycles (Haryana) Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Cycles,discretionary
ATUL,Atul Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,specialty_chem
ATULAUTO,Atul Auto Limited,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Commercial Vehicles,
AUBANK,AU Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank,small_fin_banks
AURIONPRO,Aurionpro Solutions Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,it_services
AUROPHARMA,Aurobindo Pharma Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
AURUM,Aurum PropTech Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,it_services;new_age_tech
AUTOAXLES,Automotive Axles Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ev
AUTOEQ,,,,,,
AUTOIND,Autoline Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ev
AVAADA,,,,,,
AVADHSUGAR,Avadh Sugar & Energy Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,fmcg_staples
AVALON,Avalon Technologies Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,semis;capex;new_age_tech
AVANTEL,Avantel Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,defense
AVANTIFEED,Avanti Feeds Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed,
AVENUSEMART,,,,,,
AVG,AVG Logistics Limited,Services,Services,Transport Services,Logistics Solution Provider,logistics
AVL,Aditya Vision Limited,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,discretionary
AVONMORE,Avonmore Capital & Management Services Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
AVROIND,AVRO INDIA LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,discretionary
AVTNPL,AVT Natural Products Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,fmcg_staples
AWFIS,Awfis Space Solutions Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
AWHCL,Antony Waste Handling Cell Limited,Utilities,Utilities,Other Utilities,Waste Management,
AWL,AWL Agri Business Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,fmcg_staples
AXISBANK,Axis Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,private_banks
AXISCADES,AXISCADES Technologies Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,defense;new_age_tech
AYE,Aye Finance Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
AYMSYNTEX,AYM Syntex Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,discretionary
AZAD,Azad Engineering Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,capex
BAFNAPH,Bafna Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
BAGFILMS,B.A.G Films and Media Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production,
BAIDFIN,Baid Finserv Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,ev
BAJAJAUT,,,,,,
BAJAJCON,Bajaj Consumer Care Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,fmcg_staples
BAJAJCONS,,,,,,
BAJAJELEC,Bajaj Electricals Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,ev;discretionary
BAJAJELECTR,,,,,,
BAJAJFINSV,Bajaj Finserv Limited,Financial Services,Financial Services,Finance,Holding Company,nbfc
BAJAJHCARE,Bajaj Healthcare Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
BAJAJHFL,Bajaj Housing Finance Limited,Financial Services,Financial Services,Finance,Housing Finance Company,nbfc
